ds,y
8/14/2025,363
8/14/2025,1152.74
8/14/2025,6314.05
8/14/2025,151.84
8/14/2025,416.17
8/14/2025,303.53
8/14/2025,87.25
8/14/2025,1129.13
8/14/2025,81.15
8/14/2025,17139
8/13/2025,565.86
8/13/2025,338.54
8/13/2025,1997.97
8/13/2025,1515.45
8/13/2025,4143
8/13/2025,615116
8/13/2025,106.42
8/13/2025,1309.64
8/13/2025,1706.66
8/13/2025,1009.15
8/13/2025,38.1
8/13/2025,2406.78
8/13/2025,1974.19
8/13/2025,66.15
8/13/2025,425.67
8/13/2025,1777.9
8/13/2025,17.29
8/13/2025,9.78
8/13/2025,17124
8/13/2025,12.11
8/13/2025,2452.5
8/13/2025,512.36
8/13/2025,387.19
8/13/2025,203.1
8/13/2025,3048.19
8/13/2025,937.32
8/13/2025,413.78
8/13/2025,161.27
8/13/2025,142.14
8/13/2025,245.15
8/13/2025,1249.76
8/13/2025,18.16
8/13/2025,12.16
8/13/2025,26.37
8/13/2025,25.51
8/13/2025,29.18
8/13/2025,24.21
8/13/2025,1516.31
8/13/2025,3172.82
8/13/2025,6153
8/13/2025,1103.35
8/13/2025,789.29
8/13/2025,375.51
8/13/2025,307.9
8/13/2025,1479.02
8/13/2025,117.6
8/13/2025,31.02
8/13/2025,21113
8/13/2025,3535.47
8/13/2025,369.84
8/13/2025,1565.5
8/13/2025,95.12
8/13/2025,79169
8/13/2025,10
8/13/2025,346.98
8/13/2025,205.27
8/13/2025,83147
8/13/2025,248.61
8/13/2025,203.65
8/13/2025,248.94
8/13/2025,2885.57
8/13/2025,2.92
8/13/2025,1022.82
8/13/2025,81.34
8/13/2025,101.55
8/13/2025,112137
8/13/2025,1026.01
8/13/2025,35116
8/13/2025,501.11
8/13/2025,161.27
8/13/2025,142.14
8/13/2025,54.48
8/13/2025,76.31
8/13/2025,1419
8/13/2025,367.73
8/13/2025,2433.75
8/13/2025,1186.85
8/13/2025,64.64
8/13/2025,507.76
8/13/2025,54.48
8/13/2025,93.23
8/13/2025,3148
8/13/2025,2511.41
8/13/2025,35.35
8/13/2025,28123
8/13/2025,126.68
8/13/2025,28.81
8/13/2025,532.57
8/13/2025,109.93
8/13/2025,217.91
8/13/2025,209.27
8/13/2025,21113
8/13/2025,19.56
8/13/2025,15.13
8/13/2025,1115.94
8/13/2025,1949.93
8/11/2025,813.29
8/11/2025,5.86
8/11/2025,2957.66
8/11/2025,522.84
8/11/2025,364.17
8/11/2025,95.48
8/11/2025,94.07
8/11/2025,1708.05
8/11/2025,7212.98
8/11/2025,699.69
8/11/2025,371.22
8/11/2025,10872.11
8/11/2025,1571.94
8/11/2025,1564.62
8/11/2025,12989.41
